Segment,R,G,B
0,99,12,155
1,254,31,0
2,254,59,0
3,255,100,0
4,255,142,0
5,255,182,0
6,255,213,0
7,254,240,0
8,254,253,0
9,249,254,0
10,235,255,0
11,208,255,0
12,170,255,0
13,128,255,0
14,94,255,0
15,53,255,0
16,21,255,0
17,3,255,0
18,0,255,1
19,0,255,11
20,0,255,35
21,0,255,68
22,0,255,100
23,0,254,145
24,0,254,188
25,0,254,222
26,0,254,244
27,0,254,251
28,0,248,254
29,0,229,255
30,0,206,254
31,0,167,254
32,0,122,254
33,0,80,254
34,0,42,255
